N_alpha,factor_norms,factor_types,N_mod3,N_parity
637,7*7*13,S|S|S,1,odd
1225,7*7*25,S|S|I,1,odd
1729,7*13*19,S|S|S,1,odd
2821,7*13*31,S|S|S,1,odd
4225,13*13*25,S|S|I,1,odd
8281,7*7*13*13,S|S|S|S,1,odd
8911,7*19*67,S|S|S,1,odd
12025,13*25*37,S|I|S,1,odd
13357,19*19*37,S|S|S,1,odd
15841,7*31*73,S|S|S,1,odd
26353,19*19*73,S|S|S,1,odd
29341,13*37*61,S|S|S,1,odd
35425,13*25*109,S|I|S,1,odd
46657,13*37*97,S|S|S,1,odd
52633,7*73*103,S|S|S,1,odd
58621,31*31*61,S|S|S,1,odd
63973,7*13*19*37,S|S|S|S,1,odd
89425,7*7*25*73,S|S|I|S,1,odd
99541,13*13*19*31,S|S|S|S,1,odd
99937,37*37*73,S|S|S,1,odd
